#    L    TT             EE             BB             TE             PP             TP             EP          
    54    0.14649E+04    0.11632E+00    0.00000E+00    0.63473E+00    0.16584E-06    0.64976E-05   -0.11747E-05
    55    0.14839E+04    0.12335E+00    0.00000E+00    0.46734E+00    0.16495E-06    0.13392E-04   -0.12574E-05
    56    0.15032E+04    0.13063E+00    0.00000E+00    0.28922E+00    0.16405E-06    0.19968E-04   -0.13559E-05
    57    0.15226E+04    0.13814E+00    0.00000E+00    0.10006E+00    0.16314E-06    0.26206E-04   -0.14568E-05
    58    0.15421E+04    0.14590E+00    0.00000E+00   -0.10107E+00    0.16222E-06    0.32132E-04   -0.15507E-05
    59    0.15618E+04    0.15391E+00    0.00000E+00   -0.31468E+00    0.16131E-06    0.37774E-04   -0.16287E-05
    60    0.15817E+04    0.16214E+00    0.00000E+00   -0.53931E+00    0.16038E-06    0.43116E-04   -0.16814E-05
    61    0.16020E+04    0.17058E+00    0.00000E+00   -0.77346E+00    0.15946E-06    0.48140E-04   -0.17018E-05
    62    0.16221E+04    0.17925E+00    0.00000E+00   -0.10184E+01    0.15853E-06    0.52861E-04   -0.16940E-05
    63    0.16424E+04    0.18815E+00    0.00000E+00   -0.12756E+01    0.15760E-06    0.57304E-04   -0.16648E-05
    64    0.16629E+04    0.19732E+00    0.00000E+00   -0.15468E+01    0.15666E-06    0.61492E-04   -0.16212E-05
    65    0.16834E+04    0.20678E+00    0.00000E+00   -0.18333E+01    0.15573E-06    0.65449E-04   -0.15698E-05
    66    0.17041E+04    0.21648E+00    0.00000E+00   -0.21336E+01    0.15479E-06    0.69199E-04   -0.15177E-05
    67    0.17249E+04    0.22643E+00    0.00000E+00   -0.24454E+01    0.15386E-06    0.72767E-04   -0.14715E-05
    68    0.17460E+04    0.23664E+00    0.00000E+00   -0.27670E+01    0.15292E-06    0.76172E-04   -0.14367E-05
    69    0.17672E+04    0.24705E+00    0.00000E+00   -0.30959E+01    0.15199E-06    0.79423E-04   -0.14137E-05
    70    0.17887E+04    0.25767E+00    0.00000E+00   -0.34325E+01    0.15105E-06    0.82524E-04   -0.14012E-05
    71    0.18104E+04    0.26848E+00    0.00000E+00   -0.37784E+01    0.15012E-06    0.85479E-04   -0.13982E-05
    72    0.18323E+04    0.27947E+00    0.00000E+00   -0.41351E+01    0.14919E-06    0.88295E-04   -0.14036E-05
    73    0.18543E+04    0.29062E+00    0.00000E+00   -0.45033E+01    0.14826E-06    0.90974E-04   -0.14163E-05
    74    0.18764E+04    0.30194E+00    0.00000E+00   -0.48826E+01    0.14733E-06    0.93521E-04   -0.14352E-05
    75    0.18987E+04    0.31346E+00    0.00000E+00   -0.52719E+01    0.14641E-06    0.95942E-04   -0.14590E-05
    76    0.19212E+04    0.32521E+00    0.00000E+00   -0.56717E+01    0.14548E-06    0.98238E-04   -0.14857E-05
    77    0.19439E+04    0.33718E+00    0.00000E+00   -0.60818E+01    0.14457E-06    0.10041E-03   -0.15130E-05
    78    0.19668E+04    0.34938E+00    0.00000E+00   -0.65038E+01    0.14365E-06    0.10247E-03   -0.15386E-05
    79    0.19899E+04    0.36175E+00    0.00000E+00   -0.69336E+01    0.14274E-06    0.10441E-03   -0.15603E-05
    80    0.20132E+04    0.37430E+00    0.00000E+00   -0.73728E+01    0.14183E-06    0.10624E-03   -0.15759E-05
    81    0.20366E+04    0.38696E+00    0.00000E+00   -0.78218E+01    0.14092E-06    0.10796E-03   -0.15830E-05
    82    0.20603E+04    0.39978E+00    0.00000E+00   -0.82805E+01    0.14002E-06    0.10957E-03   -0.15802E-05
    83    0.20841E+04    0.41272E+00    0.00000E+00   -0.87488E+01    0.13912E-06    0.11108E-03   -0.15691E-05
    84    0.21081E+04    0.42579E+00    0.00000E+00   -0.92250E+01    0.13823E-06    0.11249E-03   -0.15520E-05
    85    0.21323E+04    0.43897E+00    0.00000E+00   -0.97106E+01    0.13734E-06    0.11382E-03   -0.15312E-05
    86    0.21566E+04    0.45227E+00    0.00000E+00   -0.10205E+02    0.13646E-06    0.11506E-03   -0.15089E-05
    87    0.21813E+04    0.46568E+00    0.00000E+00   -0.10706E+02    0.13558E-06    0.11623E-03   -0.14876E-05
    88    0.22059E+04    0.47921E+00    0.00000E+00   -0.11215E+02    0.13470E-06    0.11733E-03   -0.14695E-05
    89    0.22309E+04    0.49285E+00    0.00000E+00   -0.11733E+02    0.13383E-06    0.11836E-03   -0.14569E-05
    90    0.22561E+04    0.50655E+00    0.00000E+00   -0.12257E+02    0.13297E-06    0.11934E-03   -0.14516E-05
    91    0.22814E+04    0.52033E+00    0.00000E+00   -0.12787E+02    0.13211E-06    0.12026E-03   -0.14527E-05
    92    0.23070E+04    0.53416E+00    0.00000E+00   -0.13323E+02    0.13125E-06    0.12112E-03   -0.14589E-05
    93    0.23328E+04    0.54805E+00    0.00000E+00   -0.13866E+02    0.13040E-06    0.12193E-03   -0.14690E-05
    94    0.23587E+04    0.56197E+00    0.00000E+00   -0.14414E+02    0.12956E-06    0.12269E-03   -0.14815E-05
    95    0.23848E+04    0.57591E+00    0.00000E+00   -0.14968E+02    0.12872E-06    0.12339E-03   -0.14952E-05
    96    0.24109E+04    0.58988E+00    0.00000E+00   -0.15528E+02    0.12788E-06    0.12404E-03   -0.15087E-05
    97    0.24374E+04    0.60385E+00    0.00000E+00   -0.16093E+02    0.12705E-06    0.12464E-03   -0.15206E-05
    98    0.24642E+04    0.61783E+00    0.00000E+00   -0.16661E+02    0.12623E-06    0.12519E-03   -0.15298E-05
    99    0.24910E+04    0.63178E+00    0.00000E+00   -0.17236E+02    0.12541E-06    0.12570E-03   -0.15364E-05
   100    0.25180E+04    0.64571E+00    0.00000E+00   -0.17812E+02    0.12460E-06    0.12615E-03   -0.15406E-05
   101    0.25452E+04    0.65967E+00    0.00000E+00   -0.18394E+02    0.12379E-06    0.12656E-03   -0.15425E-05
   102    0.25729E+04    0.67352E+00    0.00000E+00   -0.18978E+02    0.12299E-06    0.12693E-03   -0.15423E-05
   103    0.26005E+04    0.68734E+00    0.00000E+00   -0.19567E+02    0.12220E-06    0.12726E-03   -0.15403E-05
   104    0.26284E+04    0.70112E+00    0.00000E+00   -0.20156E+02    0.12141E-06    0.12755E-03   -0.15367E-05
   105    0.26563E+04    0.71480E+00    0.00000E+00   -0.20748E+02    0.12062E-06    0.12779E-03   -0.15317E-05
   106    0.26845E+04    0.72846E+00    0.00000E+00   -0.21343E+02    0.11984E-06    0.12800E-03   -0.15255E-05
   107    0.27127E+04    0.74194E+00    0.00000E+00   -0.21938E+02    0.11907E-06    0.12818E-03   -0.15183E-05
   108    0.27411E+04    0.75532E+00    0.00000E+00   -0.22534E+02    0.11830E-06    0.12833E-03   -0.15103E-05
   109    0.27698E+04    0.76853E+00    0.00000E+00   -0.23131E+02    0.11754E-06    0.12844E-03   -0.15018E-05
   110    0.27985E+04    0.78158E+00    0.00000E+00   -0.23727E+02    0.11678E-06    0.12852E-03   -0.14929E-05
   111    0.28274E+04    0.79454E+00    0.00000E+00   -0.24323E+02    0.11603E-06    0.12857E-03   -0.14838E-05
   112    0.28565E+04    0.80733E+00    0.00000E+00   -0.24920E+02    0.11529E-06    0.12860E-03   -0.14748E-05
   113    0.28857E+04    0.81997E+00    0.00000E+00   -0.25514E+02    0.11455E-06    0.12860E-03   -0.14661E-05
   114    0.29151E+04    0.83237E+00    0.00000E+00   -0.26107E+02    0.11381E-06    0.12858E-03   -0.14579E-05
   115    0.29447E+04    0.84469E+00    0.00000E+00   -0.26698E+02    0.11308E-06    0.12854E-03   -0.14503E-05
   116    0.29744E+04    0.85671E+00    0.00000E+00   -0.27286E+02    0.11236E-06    0.12848E-03   -0.14433E-05
   117    0.30044E+04    0.86850E+00    0.00000E+00   -0.27871E+02    0.11164E-06    0.12839E-03   -0.14369E-05
   118    0.30345E+04    0.88020E+00    0.00000E+00   -0.28454E+02    0.11093E-06    0.12829E-03   -0.14310E-05
   119    0.30647E+04    0.89167E+00    0.00000E+00   -0.29032E+02    0.11023E-06    0.12816E-03   -0.14256E-05
   120    0.30951E+04    0.90276E+00    0.00000E+00   -0.29606E+02    0.10952E-06    0.12802E-03   -0.14205E-05
   121    0.31255E+04    0.91377E+00    0.00000E+00   -0.30175E+02    0.10883E-06    0.12786E-03   -0.14158E-05
   122    0.31560E+04    0.92439E+00    0.00000E+00   -0.30739E+02    0.10814E-06    0.12769E-03   -0.14114E-05
