  0.217472E-03  0.260556E+08  0.260555E+08  0.318665E+08  0.318029E+08  0.000000E+00  0.260555E+08  0.260555E+08  0.260649E+08 -0.616358E+00  0.214107E+08  0.214107E+08  0.726006E+02
  0.240323E-03  0.260264E+08  0.260263E+08  0.312251E+08  0.311487E+08  0.000000E+00  0.260264E+08  0.260264E+08  0.260356E+08 -0.615663E+00  0.214328E+08  0.214328E+08  0.797960E+02
  0.265576E-03  0.259915E+08  0.259913E+08  0.304582E+08  0.303670E+08  0.000000E+00  0.259914E+08  0.259914E+08  0.260004E+08 -0.614829E+00  0.214591E+08  0.214590E+08  0.876015E+02
  0.293481E-03  0.259496E+08  0.259494E+08  0.295458E+08  0.294372E+08  0.000000E+00  0.259496E+08  0.259496E+08  0.259583E+08 -0.613830E+00  0.214901E+08  0.214900E+08  0.960334E+02
  0.324319E-03  0.258997E+08  0.258995E+08  0.284665E+08  0.283380E+08  0.000000E+00  0.258997E+08  0.258997E+08  0.259081E+08 -0.612641E+00  0.215264E+08  0.215263E+08  0.105095E+03
  0.358396E-03  0.258406E+08  0.258404E+08  0.271991E+08  0.270480E+08  0.000000E+00  0.258406E+08  0.258406E+08  0.258486E+08 -0.611231E+00  0.215686E+08  0.215684E+08  0.114773E+03
  0.396055E-03  0.257711E+08  0.257708E+08  0.257238E+08  0.255479E+08  0.000000E+00  0.257710E+08  0.257710E+08  0.257786E+08 -0.609573E+00  0.216169E+08  0.216168E+08  0.125027E+03
  0.437671E-03  0.256899E+08  0.256896E+08  0.240255E+08  0.238229E+08  0.000000E+00  0.256899E+08  0.256899E+08  0.256970E+08 -0.607637E+00  0.216715E+08  0.216714E+08  0.135786E+03
  0.483659E-03  0.255962E+08  0.255957E+08  0.220969E+08  0.218666E+08  0.000000E+00  0.255961E+08  0.255961E+08  0.256026E+08 -0.605401E+00  0.217321E+08  0.217318E+08  0.146940E+03
  0.534479E-03  0.254892E+08  0.254887E+08  0.199438E+08  0.196863E+08  0.000000E+00  0.254891E+08  0.254891E+08  0.254950E+08 -0.602850E+00  0.217975E+08  0.217972E+08  0.158328E+03
  0.590640E-03  0.253690E+08  0.253684E+08  0.175904E+08  0.173085E+08  0.000000E+00  0.253689E+08  0.253689E+08  0.253741E+08 -0.599983E+00  0.218659E+08  0.218656E+08  0.169734E+03
  0.652702E-03  0.252365E+08  0.252357E+08  0.150862E+08  0.147853E+08  0.000000E+00  0.252364E+08  0.252364E+08  0.252408E+08 -0.596822E+00  0.219345E+08  0.219342E+08  0.180877E+03
  0.721284E-03  0.250937E+08  0.250928E+08  0.125100E+08  0.121993E+08  0.000000E+00  0.250936E+08  0.250936E+08  0.250972E+08 -0.593416E+00  0.219993E+08  0.219989E+08  0.191420E+03
  0.797074E-03  0.249441E+08  0.249431E+08  0.997241E+07  0.966440E+07  0.000000E+00  0.249440E+08  0.249440E+08  0.249469E+08 -0.589849E+00  0.220552E+08  0.220547E+08  0.200969E+03
  0.880826E-03  0.247928E+08  0.247915E+08  0.760948E+07  0.731973E+07  0.000000E+00  0.247926E+08  0.247926E+08  0.247948E+08 -0.586240E+00  0.220969E+08  0.220964E+08  0.209106E+03
  0.973379E-03  0.246459E+08  0.246444E+08  0.556642E+07  0.531143E+07  0.000000E+00  0.246456E+08  0.246456E+08  0.246472E+08 -0.582736E+00  0.221196E+08  0.221190E+08  0.215416E+03
  0.107566E-02  0.245100E+08  0.245083E+08  0.396749E+07  0.376127E+07  0.000000E+00  0.245098E+08  0.245098E+08  0.245109E+08 -0.579497E+00  0.221207E+08  0.221200E+08  0.219542E+03
  0.118868E-02  0.243910E+08  0.243890E+08  0.287562E+07  0.272507E+07  0.000000E+00  0.243907E+08  0.243907E+08  0.243915E+08 -0.576660E+00  0.221016E+08  0.221008E+08  0.221236E+03
  0.131358E-02  0.242919E+08  0.242896E+08  0.225443E+07  0.215509E+07  0.000000E+00  0.242915E+08  0.242915E+08  0.242922E+08 -0.574298E+00  0.220685E+08  0.220676E+08  0.220401E+03
  0.145161E-02  0.242115E+08  0.242089E+08  0.195734E+07  0.189251E+07  0.000000E+00  0.242111E+08  0.242111E+08  0.242116E+08 -0.572384E+00  0.220316E+08  0.220306E+08  0.217095E+03
